Date,Lieu,Ville,Type,Prix,Artiste,Image
5 avr. 2023,LA SOURCE,LE HAILLAN,THEATRE - IMPROVISATION THEATRALE,7.0,LE CADEAU,https://static.ticketmaster.fr/static/images/vignettes/a_529898.gif
5 avr. 2023,ZENITH DE PAU,PAU,THEATRE - COMEDIE,25.0,UNE SITUATION DÉLICATE- MAX BOUBLIL- CLOTILDE COURAU- GERARD DARMON- UNE SITUATION DELICATE,https://static.ticketmaster.fr/static/images/vignettes/a_525033.gif
6 avr. 2023,PASINO PARTOUCHE LA GRANDE MOTTE,LA GRANDE MOTTE,THEATRE - COMEDIE,35.0,LES HOMMES VIENNENT DE MARS ET LES FEMMES DE VENUS,https://static.ticketmaster.fr/static/images/vignettes/a_540251.gif
6 au 16 avr. 2023,COMEDIE DU HAVRE,LE HAVRE,THEATRE - COMEDIE,26.0,SURTOUT NE DIS RIEN A MA MERE,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
6 avr. 2023,THEATRE A L'OUEST,CAEN,THEATRE - SEUL EN SCENE,22.0,THIBAUD AGOSTON,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
6 avr. 2023,ESPACE CARPEAUX Salle Saint Saens,COURBEVOIE,THEATRE - THEATRE CLASSIQUE,20.0,LE MONTESPAN- MICHAEL HIRSCH- SIMON LARVARON- ETIENNE LAUNAY- SALOME VILLIERS,https://static.ticketmaster.fr/static/images/vignettes/a_532617.gif
6 avr. 2023,CASINO DE SANARY SUR MER-SALLE LE COLOMBET,SANARY SUR MER,THEATRE - AUTRES THEATRE,17.0,LA BELLE-MERE,https://static.ticketmaster.fr/static/images/vignettes/a_531199.gif
6 avr. 2023,PALAIS DES CONGRES-LE MANS,LE MANS,THEATRE - COMEDIE,17.0,"""LAFFAIRE DUSSAERT""",https://static.ticketmaster.fr/static/images/vignettes/a_530793.gif
6 avr. 2023,O LAC,CHATEAUNEUF SUR ISERE,THEATRE - COMEDIE,27.0,TIME SQUARE,https://static.ticketmaster.fr/static/images/vignettes/n_times-square.gif
6 avr. 2023,CENTRE CULTUREL JACQUES DUHAMEL,VITRE,THEATRE - THEATRE CONTEMPORAIN,32.5,RTHUR H,https://static.ticketmaster.fr/static/images/vignettes/n_arthur-h.gif
6 avr. 2023,RADIANT,CALUIRE ET CUIRE,THEATRE - THEATRE CONTEMPORAIN,20.0,FRANCOIS MOREL,https://static.ticketmaster.fr/static/images/vignettes/a_527855.gif
7 au 9 avr. 2023,THEATRE A L'OUEST,ROUEN,THEATRE - COMEDIE,27.2,"""JHABITE ENCORE CHEZ MA FEMME""",https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
7 au 16 avr. 2023,ATHENEE THEATRE LOUIS-JOUVET,PARIS,THEATRE - THEATRE MUSICAL,39.6,O MON BEL INCONNU,https://static.ticketmaster.fr/static/images/vignettes/a_538637.gif
7 avr. 2023,LOIREAUXENCE,LOIREAUXENCE,THEATRE - COMEDIE,7.0,CECILE GIROUD & YANN STOTZ,https://static.ticketmaster.fr/static/images/vignettes/a_538201.gif
