Date,Lieu,Ville,Type,Prix,Artiste,Image
15 mars 2023,NINKASI GERLAND / KAO,LYON,CONCERT - POP ROCK FOLK,22.0,DE,https://static.ticketmaster.fr/static/images/vignettes/n_ade.gif
15 mars 2023,L'ENTREPOT,LE HAILLAN,CONCERT - VARIETE ET CHANSON FRANCAISE,17.0,MATHIEU BOOGAERTS,https://static.ticketmaster.fr/static/images/vignettes/n_mathieu-boogaerts.gif
15 mars 2023,LE TOBOGGAN,DECINES CHARPIEU,CONCERT - VARIETE ET CHANSON FRANCAISE,40.5,MARC LAVOINE,https://static.ticketmaster.fr/static/images/vignettes/a_528359.gif
15 mars 2023,ZENITH ARENA LILLE,LILLE,CONCERT - VARIETE ET CHANSON FRANCAISE,37.0,CAMILLE LELLOUCHE,https://static.ticketmaster.fr/static/images/vignettes/n_camille-lellouche.gif
15 mars 2023,BOURSE DU TRAVAIL,LYON,CONCERT - VARIETE ET CHANSON FRANCAISE,44.0,ISABELLE BOULAY,https://static.ticketmaster.fr/static/images/vignettes/a_522949.gif
16 mars 2023,LE GUEULARD +,NILVANGE,CONCERT - POP ROCK FOLK,14.0,THE MAHONES- SIR REG,https://static.ticketmaster.fr/static/images/vignettes/a_543476.gif
16 mars 2023,WAREHOUSE,NANTES,CONCERT - RAP HIP-HOP SLAM,24.5,J9UEVE,https://static.ticketmaster.fr/static/images/vignettes/a_543112.gif
16 mars 2023,L'Empreinte,SAVIGNY LE TEMPLE CEDEX,CONCERT - POP ROCK FOLK,12.0,VANILLE,https://static.ticketmaster.fr/static/images/vignettes/a_543013.gif
16 mars 2023,LE SPLENDID,LILLE,CONCERT - RAP HIP-HOP SLAM,23.0,DTF,https://static.ticketmaster.fr/static/images/vignettes/a_542733.gif
16 mars 2023,LES ABATTOIRS,COGNAC,CONCERT - POP ROCK FOLK,17.0,NOVEMBER ULTRA,https://static.ticketmaster.fr/static/images/vignettes/n_november-ultra.gif
16 mars 2023,THEATRE DU CLOITRE,BELLAC,CONCERT - POP ROCK FOLK,7.0,MICHEL CLOUP- THE LOST COMMUNISTS,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
16 mars 2023,LA CHAPELLE-LES TRINITAIRES,METZ,CONCERT - VARIETE ET CHANSON FRANCAISE,17.0,WILD CLASSICAL MUSIC ENSEMBLE,https://static.ticketmaster.fr/static/images/vignettes/a_542108.gif
16 mars 2023,LES ABATTOIRS,BOURGOIN JALLIEU,CONCERT - POP ROCK FOLK,7.0,NEBRASKA JONES,https://static.ticketmaster.fr/static/images/vignettes/s_8245.gif
16 mars 2023,La Boule Noire,PARIS,CONCERT - POP ROCK FOLK,16.0,JULIA JEAN-BAPTISTE,https://static.ticketmaster.fr/static/images/vignettes/a_541744.gif
16 mars 2023,LA MARQUISE,LYON,CONCERT - RAP HIP-HOP SLAM,17.0,8RUKI,https://static.ticketmaster.fr/static/images/vignettes/a_541574.gif
16 mars 2023,La Cigale,PARIS,CONCERT - MUSIQUE ELECTRONIQUE,36.3,FEDER,https://static.ticketmaster.fr/static/images/vignettes/a_540975.gif
16 mars 2023,CIRQUE ROYAL,BRUXELLES,CONCERT - VARIETE ET CHANSON FRANCAISE,29.0,JEAN BAPTISTE GUEGAN,https://static.ticketmaster.fr/static/images/vignettes/n_jean-baptiste-guegan.gif
16 mars 2023,La Maroquinerie,PARIS,CONCERT - RAP HIP-HOP SLAM,20.0,JOYSAD,https://static.ticketmaster.fr/static/images/vignettes/a_539223.gif
16 mars 2023,L'Astrolabe,ORLEANS,CONCERT - POP ROCK FOLK,10.0,BILLY NOMATES,https://static.ticketmaster.fr/static/images/vignettes/a_538796.gif
16 mars 2023,LA LUCIOLE,ALENCON,CONCERT - POP ROCK FOLK,26.0,THE INSPECTOR CLUZO,https://static.ticketmaster.fr/static/images/vignettes/n_the-inspector-cluzo.gif
16 mars 2023,CASINO DE PARIS,PARIS,CONCERT - RNB SOUL FUNK DISCO,44.3,THE CAT EMPIRE,https://static.ticketmaster.fr/static/images/vignettes/a_538507.gif
